summit_name,deaths_on_summit,accidents
Großes Bärenhorn,0.0,0.0
Pechofenstein,0.0,0.0
Pechofenspitze,0.0,0.0
Bärfangkegel,0.0,0.0
Bärfangwarte,0.0,0.0
Prinz Karneval,0.0,0.0
Kraxelbrüderscheibe,1.0,0.0
Hirschgrundkegel,2.0,7.0
Wartturm,2.0,23.0
Sieberturm,2.0,6.0
Tiedgestein,9.0,18.0
Mönch,4.0,32.0
Basteischluchtturm,1.0,3.0
Wehlkopf,1.0,1.0
Kleiner Wehlturm,5.0,8.0
Großer Wehlturm,7.0,8.0
Doppelkopf,1.0,1.0
Zitronenkopf,1.0,1.0
Kanzelscheibe,1.0,3.0
Wehlnadel,2.0,4.0
Hinterer Gansfels,4.0,5.0
Vorderer Gansfels,12.0,34.0
Gansriff,1.0,2.0
Raaber Turm,1.0,14.0
Raaber Säule,2.0,8.0
Höllenhund,4.0,21.0
Westlicher Turm der Jugend,1.0,2.0
Luginsland,1.0,1.0
Maxl,1.0,0.0
Amselspitze,1.0,6.0
Vexierturm,5.0,13.0
Lokomotive-Dom,1.0,16.0
Lokomotive-Esse,3.0,20.0
Talwächter,5.0,35.0
Türkenkopf,1.0,20.0
Feldwand,2.0,10.0
Gamrigkegel,1.0,0.0
Gamrigscheibe,1.0,8.0
Waltersdorfer Horn,1.0,6.0
Hinterer Hirschgrundturm,0.0,3.0
Mittlerer Hirschgrundturm,0.0,1.0
Vorderer Hirschgrundturm,0.0,2.0
Lochturm,0.0,2.0
Adolf-Hermann-Fels,0.0,4.0
Basteiturm,0.0,1.0
Jahrhundertturm,0.0,3.0
Neurathener Felsentor,0.0,7.0
Reh,0.0,2.0
Rudolf-Holtz-Turm,0.0,1.0
Mittlerer Wehlturm,0.0,1.0
Taufstein,0.0,2.0
Felsensportturm,0.0,0.0
Felsensternscheibe,0.0,0.0
Höhlenturm,0.0,0.0
Pavillonwächter,0.0,7.0
Souffleur,0.0,8.0
Plattenstein,0.0,7.0
Mittlerer Gansfels,0.0,0.0
Ganskopf,0.0,3.0
Gansscheibe,0.0,21.0
Emir,0.0,1.0
Kulisse,0.0,1.0
Höllenhundscheibe,0.0,2.0
Dresdner Turm,0.0,5.0
Amselgrundnadel,0.0,0.0
Admiral,0.0,1.0
Klabautermann,0.0,0.0
Totenkirchl,0.0,0.0
Amselgrundturm,0.0,0.0
Schwedenscheibe,0.0,0.0
Honigsteinnadel,0.0,1.0
Honigsteinturm,0.0,1.0
Honigstein,0.0,21.0
Maiturm,0.0,4.0
Honigsteinkopf,0.0,2.0
Östlicher Feldkopf,0.0,3.0
Gamrigwächter,0.0,0.0
Heidestein,0.0,5.0
Heidebrüderturm,0.0,2.0
Ziegenrückenturm,0.0,1.0
Querkopf,0.0,0.0
Scherge,0.0,1.0
Hirschgrundwarte,0.0,1.0
Biene,0.0,0.0
Pate,0.0,0.0
Ferdinandturm,0.0,0.0
Schwarze Säule,0.0,0.0
Aschelochturm,0.0,0.0
Zugvogelspitze,0.0,1.0
Bierturm,0.0,0.0
Gänseei,0.0,1.0
Rathener Warte,0.0,1.0
Vexiernadel,0.0,0.0
Storchnest,0.0,1.0
Bienenkorb,0.0,1.0
Lamm,0.0,2.0
Lammscheibe,0.0,2.0
Imker,0.0,5.0
Honigsteinscheibe,0.0,5.0
Lithostein,0.0,2.0
Hirschgrundscheibe,0.0,0.0
Doktor,0.0,1.0
Verlorener Turm,0.0,1.0
Langer Israel,0.0,2.0
Basteiwächter,0.0,0.0
Hinterer Basteiturm,0.0,0.0
Bergfreundeturm,0.0,8.0
Eule,0.0,6.0
Schwedenturm,0.0,1.0
Westlicher Feldkopf,0.0,14.0
Patient,0.0,4.0
Assistent,0.0,1.0
Wilddieb,0.0,1.0
Torsteiner Turm,0.0,4.0
Margaretenspitze,0.0,1.0
Steinschleuder,0.0,11.0
Wehlscheibe,0.0,2.0
Wehlgrundspitze,0.0,1.0
Wehlgrundwächter,0.0,2.0
Grafenspitze,0.0,2.0
Grenadierturm,0.0,1.0
Axelturm,0.0,4.0
Habicht,0.0,2.0
Bergfreund,0.0,2.0
Suleika,0.0,1.0
Raaber Wand,0.0,3.0
Vorderer Höllenhundturm,0.0,2.0
Sechserturm,0.0,7.0
Höllenhundwächter,0.0,1.0
Maitürmchen,0.0,1.0
Struppi,0.0,1.0
Wehlhorn,0.0,0.0
Elbtalturm,0.0,0.0
Breite-Kluft-Wand,1.0,2.0
Breite-Kluft-Turm,0.0,1.0
Rauschenspitze,0.0,2.0
Westlicher Rauschenturm,0.0,2.0
Östlicher Rauschenturm,0.0,1.0
Schützelkopf,0.0,0.0
Rauschentorwächter,0.0,1.0
Großer Falknerturm,1.0,0.0
Kleiner Falknerturm,1.0,5.0
Turm am Verborgenen Horn,0.0,3.0
Heringsgrundnadel,0.0,1.0
Muschelkopf,1.0,2.0
Bussardwand,2.0,5.0
Heringsgrundscheibe,0.0,0.0
Gerbingspitze,0.0,1.0
Neue Wenzelwand,0.0,2.0
Märchenturm,0.0,0.0
Böser Turm,2.0,0.0
Lolaturm,2.0,2.0
Lehnwand,0.0,1.0
Lehnriff,0.0,1.0
Vorderer Verborgener Turm,0.0,1.0
Poblätzschwand,0.0,1.0
Kipphornwächter,0.0,1.0
Elbtalwächter,0.0,2.0
Elbtalhorn,0.0,1.0
Teufelsturm,0.0,5.0
Klimmerstein,1.0,7.0
Südwestlicher Wachturm,0.0,2.0
Rauschenstein,5.0,13.0
Winklerturm,2.0,4.0
Stiegenwächter,0.0,1.0
Hinterer Bussardturm,0.0,1.0
Vorderer Bussardturm,0.0,1.0
Flohspitze,0.0,1.0
Fluchtwand,0.0,7.0
Flüchtling,0.0,1.0
Pfadfinder,0.0,1.0
Hinterer Schneeberger Turm,0.0,1.0
Frühlingsturm,0.0,2.0
Püschnerturm,0.0,1.0
Schwarzes Horn,0.0,5.0
Lehnnadel,0.0,1.0
Zweiter Lehnsteigturm,0.0,5.0
Dritter Lehnsteigturm,0.0,2.0
Lehnkuppel,0.0,4.0
Großer Gratturm,2.0,3.0
"Fünf Gipfel, Nordwestturm",0.0,1.0
"Fünf Gipfel, Nordostturm",0.0,1.0
Böhmeturm,0.0,1.0
Steinlochturm,0.0,1.0
Mittlerer Verborgener Turm,0.0,1.0
Totensteiner Nadel,0.0,2.0
Schadeturm,0.0,5.0
Wurzelkopf,0.0,2.0
Kapellenwandwächter,0.0,1.0
Winterturm,0.0,1.0
Lange Wand,0.0,2.0
Zufallsturm,0.0,1.0
Spitzkegel,0.0,0.0
Eckzahn,0.0,0.0
Nachbar,0.0,0.0
Nordöstlicher Wachturm,0.0,0.0
Doppelturm,0.0,0.0
Mittlerer Bussardturm,0.0,0.0
Heringsgrundwächter,0.0,0.0
Bonbon,0.0,0.0
Schneeberger Spitze,0.0,0.0
Abendturm,0.0,0.0
Heringsgrundturm,0.0,0.0
Feldschmiede,0.0,0.0
Sprunghorn,0.0,0.0
Gamsturm,0.0,0.0
Dornröschen (Kapellenwand),0.0,0.0
Kulissenwächter,0.0,0.0
Wurzelturm,0.0,0.0
Wurzelnadel,0.0,0.0
Brechstange,0.0,0.0
Heiliger Wenzel,0.0,0.0
Alter Bock,0.0,0.0
Lärchenturm,0.0,0.0
Hüttenwart,0.0,1.0
Zahnsgrundwächter,0.0,3.0
Vorderer Torstein,1.0,12.0
Meurerturm,0.0,5.0
Kesselturm,0.0,2.0
Kelch,0.0,1.0
Viererturm,3.0,9.0
Spitzer Turm,0.0,5.0
Max und Moritz,0.0,2.0
Zackenkrone,0.0,3.0
Schrammtorwächter,2.0,10.0
Schrammtorfreund,0.0,1.0
Ostervorturm,0.0,1.0
Südlicher Osterturm,0.0,2.0
Nördlicher Osterturm,0.0,1.0
Südlicher Schrammturm,0.0,1.0
Westlicher Schrammturm,0.0,2.0
Dreifingerturm,1.0,6.0
Schrammsteinkegel,0.0,1.0
Schrammsteinwächter,0.0,2.0
Neffe,0.0,1.0
Eunuch,0.0,4.0
Jungfer,0.0,16.0
Wildschützenkopf,1.0,1.0
Wildschützennadel,0.0,2.0
Müllerstein,0.0,2.0
Schwager,0.0,5.0
Onkel,1.0,4.0
Tante,3.0,10.0
Bergfex,0.0,3.0
Drohne,0.0,4.0
Mittlerer Torstein,1.0,4.0
Hoher Torstein,2.0,12.0
Falkenstein,12.0,54.0
Zinne,0.0,2.0
Oberer Lagerwächter,0.0,2.0
Götze,0.0,0.0
Zahnsgrundturm,0.0,0.0
Hirschzahn,0.0,0.0
Rübezahlkeule,0.0,0.0
Bierdeckel,0.0,0.0
Fotografenspitze,0.0,0.0
Schrammsteinscheibe,0.0,0.0
Saurier,0.0,0.0
Baustein,0.0,0.0
Turnernadel,0.0,0.0
Knabe,0.0,0.0
Mittlerer Lagerwächter,0.0,0.0
Unterer Lagerwächter,0.0,0.0
Kirnitzschwand,0.0,0.0
Schweinskopf,0.0,0.0
Schießgrundscheibe,0.0,0.0
Rübezahl,0.0,0.0
Steinschluchtwand,0.0,0.0
Obrigenwand,0.0,0.0
Flasche,0.0,0.0
Unbenannte Spitze,0.0,0.0
Östlicher Schrammturm,0.0,0.0
Golem,0.0,0.0
Wetterhaube,0.0,0.0
Mädel,0.0,0.0
Säule,0.0,0.0
Satan,0.0,0.0
Gespaltener Kegel,0.0,0.0
Vorderer Torsteinkegel,0.0,0.0
Kirnitzschturm,0.0,0.0
Kladderadatsch,0.0,0.0
Nördlicher Schrammturm,0.0,0.0
Jubiläumsturm,0.0,0.0
Schrammsteinnadel,0.0,0.0
Schrammsteinturm,0.0,0.0
Hinterer Torsteinkegel,0.0,0.0
Pilzwand (Pilzturm),0.0,0.0
Rhombus,0.0,1.0
Bärensteinscheibe,0.0,3.0
Bärensteinwächter,0.0,2.0
Bärensteinwarte,0.0,0.0
Bärensteinklotz,0.0,0.0
Berg-Heil-Scheibe,1.0,0.0
Knöchel,0.0,6.0
Khedive,0.0,0.0
Laasenturm,0.0,11.0
Heini,0.0,0.0
Pfingstnadel,0.0,0.0
Kubus,0.0,0.0
Frosch,0.0,0.0
Barriere,0.0,1.0
Stelzchenkegel,0.0,0.0
Quirlwächter,0.0,0.0
Dreikanter,0.0,0.0
Quader,0.0,0.0
Pfaffenhütchen,0.0,0.0
Klamotte,0.0,0.0
Steinerne Scheune,0.0,1.0
Bruchwächter,0.0,0.0
Winkelblock,0.0,0.0
Rotsteinkegel,0.0,0.0
Maus,0.0,0.0
Ratsleitenturm,0.0,0.0
Struppengrundkegel,0.0,0.0
Drei Bären,0.0,0.0
Bärensteinnadel,0.0,0.0
Bärensteinturm,2.0,2.0
Khan,0.0,0.0
Dreizack,1.0,0.0
Rauensteinkopf,0.0,0.0
Dreifreundestein,0.0,9.0
Rauensteinspitze,0.0,0.0
Rauensteinturm,0.0,7.0
Panoramascheibe (Rauensteinscheibe),0.0,1.0
Rauensteinwächter,0.0,0.0
Liliensteinwächter,0.0,0.0
Liliensteinnadel,0.0,6.0
Spanghornturm,0.0,0.0
Teichwächter,1.0,1.0
Kiefernturm,0.0,0.0
Labyrinthwächter,0.0,0.0
Schiefer Block,0.0,0.0
Pfingstkegel,0.0,0.0
Nikolsdorfer Turm,0.0,1.0
Nikolsdorfer Nadel,0.0,0.0
Bundesfels,0.0,1.0
Nordturm,0.0,1.0
Nordkopf,0.0,1.0
Haselmaus,0.0,0.0
Dreimännerturm,0.0,0.0
Abendwand,0.0,0.0
Hintere Abendwand,0.0,0.0
Ratte,0.0,0.0
Bilch,0.0,0.0
Einsamer Ritter,0.0,0.0
Wolfswand,0.0,1.0
Julikopf,0.0,0.0
Berglerturm,0.0,2.0
Pfaffenkopf (Buchfinkenturm),0.0,0.0
Schildkröte,0.0,0.0
Wilder Turm,0.0,1.0
Fritschfels,0.0,4.0
Vierling,0.0,1.0
Stiller Turm,0.0,0.0
Keilerturm,1.0,3.0
Muselmann,0.0,0.0
Narrenkappe,0.0,3.0
Zwergfels,0.0,3.0
Findling,0.0,0.0
Kleine Hunskirche,0.0,6.0
Räuberhöhlenturm,0.0,1.0
Schmale Wand,0.0,0.0
Kleingießhübler Turm,0.0,0.0
Zschirnsteinwächter,0.0,1.0
Zschirnsteinwarte,0.0,0.0
Wackelstein,1.0,2.0
Rentnerturm,0.0,0.0
Dicke Berta,0.0,0.0
Cunnersdorfer Nadel,0.0,0.0
Lampertshorn,1.0,0.0
Thürmsdorfer Stein,1.0,7.0
Riegelkopf,0.0,5.0
Conradturm,1.0,1.0
Nonne,2.0,14.0
Vergessener Turm,0.0,1.0
Einsiedler,0.0,3.0
Raue Zinne,2.0,2.0
Nördliche Pfaffenschluchtspitze,1.0,3.0
Südliche Pfaffenschluchtspitze,0.0,2.0
Junggeselle,0.0,2.0
Jäckelfels,0.0,2.0
Orgelpfeifenwand,0.0,1.0
Königsspitze,0.0,3.0
Förster,0.0,2.0
Zwillinge,0.0,1.0
Abgetrennte Wand,0.0,2.0
Große Hunskirche,1.0,8.0
Kleiner Zschirnsteinturm,0.0,2.0
Großer Zschirnsteinturm,0.0,2.0
Pfaffenstein,0.0,1.0
Hafersack,1.0,0.0
Glatter Turm,0.0,0.0
Nasse-Schlucht-Turm,0.0,0.0
Peterskirche,0.0,0.0
Papst,0.0,0.0
Enkel,0.0,0.0
Buch,,0.0
Einsamer Turm,,0.0
Kehllochscheibe,,0.0
Versteckte Spitze,,0.0
Tümpelgrundturm,,0.0
Tümpelgrundwächter,,0.0
Postakegel,,3.0
Buschholzturm,,1.0
Wetterwarte,,2.0
Bergfalkenturm,,0.0
Steinerner Bär,,0.0
Höllengrundscheibe,,0.0
Zwölfer,,0.0
Tümpelgrundwand,,0.0
Elbgucke,,0.0
Griesgrundwächter,,0.0
Heidematz,0.0,4.0
Steinbachturm,0.0,1.0
Heidewand,0.0,1.0
Glocke,0.0,1.0
Glöckner,0.0,1.0
Wilderer,0.0,1.0
Zyklopenmauer,1.0,4.0
Wildensteinwand,0.0,1.0
Blasketurm,0.0,4.0
Hebamme,0.0,3.0
Rabentürmchen,1.0,6.0
Lorenzsteinnadel,0.0,1.0
Großer Lorenzstein,1.0,12.0
Kleiner Lorenzstein,1.0,9.0
Monolith,0.0,1.0
Zschandspitze,0.0,1.0
Teichsteinwächter,1.0,1.0
Kanstein-Vorgipfel,0.0,3.0
Rätselturm (Späte Zinne),0.0,1.0
Kleinsteinwand,0.0,5.0
Kansteinnadel,0.0,0.0
Buschmühlenturm,0.0,0.0
Grünling,0.0,0.0
Städelschlüchteturm,0.0,0.0
Eremit,0.0,0.0
Zätzschenhornstein,0.0,0.0
Wildensteinscheibe,0.0,0.0
Münzstein,0.0,0.0
Wildspitze,0.0,0.0
Hohler Turm,0.0,0.0
Hausbergwächter,0.0,0.0
Großsteinnadel,0.0,0.0
Teichsteinnadel,0.0,0.0
E-Flügel-Wand,0.0,0.0
Buschmühle,0.0,0.0
